x,y,basin,iterations
-1.8,-1.85,4,6
-1.8,-1.8,4,6
-1.8,-1.75,4,6
-1.8,-1.7,4,6
-1.8,-1.65,4,6
-1.8,-1.6,4,6
-1.8,-1.55,4,6
-1.8,-1.5,4,6
-1.8,-1.45,4,6
-1.8,-1.4,4,6
-1.8,-1.35,4,6
-1.8,-1.3,4,6
-1.8,-1.25,4,6
-1.8,-1.2,4,6
-1.8,-1.15,4,6
-1.8,-1.1,4,6
-1.8,-1.05,4,6
-1.8,-1.0,4,6
-1.8,-0.95,4,6
-1.8,-0.8999999999999999,4,6
-1.8,-0.8500000000000001,4,6
-1.8,-0.8,4,6
-1.8,-0.75,4,6
-1.8,-0.7,4,6
-1.8,-0.6499999999999999,4,6
-1.8,-0.6000000000000001,4,6
-1.8,-0.55,4,6
-1.8,-0.5,4,6
-1.8,-0.44999999999999996,4,7
-1.8,-0.3999999999999999,4,8
-1.8,-0.3500000000000001,3,9
-1.8,-0.30000000000000004,3,8
-1.8,-0.25,3,8
-1.8,-0.19999999999999996,4,9
-1.8,-0.1499999999999999,4,8
-1.8,-0.10000000000000009,3,10
-1.8,-0.050000000000000044,3,11
-1.8,0.0,-2,30
-1.8,0.04999999999999982,1,11
-1.8,0.10000000000000009,1,10
-1.8,0.1499999999999999,2,8
-1.8,0.20000000000000018,2,9
-1.8,0.25,1,8
-1.8,0.2999999999999998,1,8
-1.8,0.3500000000000001,1,9
-1.8,0.3999999999999999,2,8
-1.8,0.4500000000000002,2,7
-1.8,0.5,2,6
-1.8,0.5499999999999998,2,6
-1.8,0.6000000000000001,2,6
-1.8,0.6499999999999999,2,6
-1.8,0.7000000000000002,2,6
-1.8,0.75,2,6
-1.8,0.7999999999999998,2,6
-1.8,0.8500000000000001,2,6
-1.8,0.8999999999999999,2,6
-1.8,0.9500000000000002,2,6
-1.8,1.0,2,6
-1.8,1.0499999999999998,2,6
-1.8,1.1,2,6
-1.8,1.15,2,6
-1.8,1.2000000000000002,2,6
-1.8,1.25,2,6
-1.8,1.2999999999999998,2,6
-1.8,1.35,2,6
-1.8,1.4,2,6
-1.8,1.4500000000000002,2,6
-1.8,1.5,2,6
-1.8,1.5499999999999998,2,6
-1.8,1.6,2,6
-1.8,1.65,2,6
-1.8,1.7000000000000002,2,6
-1.8,1.75,2,6
-1.8,1.7999999999999998,2,6
-1.8,1.85,2,6
-1.8,1.9,2,6
-1.8,1.9500000000000002,2,6
-1.8,2.0,2,6
-1.75,-2.0,4,6
-1.75,-1.95,4,6
-1.75,-1.9,4,6
-1.75,-1.85,4,6
-1.75,-1.8,4,6
-1.75,-1.75,4,6
-1.75,-1.7,4,6
-1.75,-1.65,4,6
-1.75,-1.6,4,6
-1.75,-1.55,4,6
-1.75,-1.5,4,6
-1.75,-1.45,4,6
-1.75,-1.4,4,6
-1.75,-1.35,4,6
-1.75,-1.3,4,6
-1.75,-1.25,4,6
-1.75,-1.2,4,6
-1.75,-1.15,4,6
-1.75,-1.1,4,6
-1.75,-1.05,4,6
-1.75,-1.0,4,6
-1.75,-0.95,4,6
-1.75,-0.8999999999999999,4,6
-1.75,-0.8500000000000001,4,6
-1.75,-0.8,4,6
-1.75,-0.75,4,6
-1.75,-0.7,4,6
-1.75,-0.6499999999999999,4,6
-1.75,-0.6000000000000001,4,6
-1.75,-0.55,4,6
-1.75,-0.5,4,6
-1.75,-0.44999999999999996,4,7
-1.75,-0.3999999999999999,4,8
-1.75,-0.3500000000000001,1,9
-1.75,-0.30000000000000004,3,8
-1.75,-0.25,3,8
-1.75,-0.19999999999999996,4,8
-1.75,-0.1499999999999999,4,8
-1.75,-0.10000000000000009,3,10
-1.75,-0.050000000000000044,4,10
-1.75,0.0,-2,30
-1.75,0.04999999999999982,2,10
-1.75,0.10000000000000009,1,10
-1.75,0.1499999999999999,2,8
-1.75,0.20000000000000018,2,8
-1.75,0.25,1,8
-1.75,0.2999999999999998,1,8
-1.75,0.3500000000000001,3,9
-1.75,0.3999999999999999,2,8
-1.75,0.4500000000000002,2,7
-1.75,0.5,2,6
-1.75,0.5499999999999998,2,6
-1.75,0.6000000000000001,2,6
-1.75,0.6499999999999999,2,6
-1.75,0.7000000000000002,2,6
-1.75,0.75,2,6
